earliest_filing_year,ctry_code,ipc_green,count
2010,AE,Administrative and regulatory,0.14285714285714285714
1981,AR,Administrative and regulatory,0.50000000000000000000
2010,AR,Administrative and regulatory,0.14285714285714285714
2012,AR,Administrative and regulatory,1.00000000000000000000
2014,AR,Administrative and regulatory,1.00000000000000000000
2016,AR,Administrative and regulatory,0.20000000000000000000
2017,AR,Administrative and regulatory,0.50000000000000000000
2018,AR,Administrative and regulatory,0.08333333333333333333
1968,AT,Administrative and regulatory,0.33333333333333333333
1998,AT,Administrative and regulatory,0.50000000000000000000
2000,AT,Administrative and regulatory,0.10000000000000000000
2002,AT,Administrative and regulatory,0.50000000000000000000
2005,AT,Administrative and regulatory,0.16666666666666666667
2008,AT,Administrative and regulatory,0.50000000000000000000
2013,AT,Administrative and regulatory,0.20000000000000000000
2017,AT,Administrative and regulatory,0.63333333333333333333
1972,AU,Administrative and regulatory,1.00000000000000000000
1986,AU,Administrative and regulatory,0.10000000000000000000
1993,AU,Administrative and regulatory,0.58333333333333333333
1994,AU,Administrative and regulatory,0.25000000000000000000
1995,AU,Administrative and regulatory,0.75000000000000000000
2001,AU,Administrative and regulatory,0.04166666666666666667
2004,AU,Administrative and regulatory,0.69166666666666666667
2005,AU,Administrative and regulatory,0.75000000000000000000
2006,AU,Administrative and regulatory,0.87840909090909090909
2007,AU,Administrative and regulatory,0.44444444444444444444
2008,AU,Administrative and regulatory,0.24236111111111111111
2009,AU,Administrative and regulatory,1.42549019607843137254
2010,AU,Administrative and regulatory,1.02857142857142857143
2011,AU,Administrative and regulatory,1.15833333333333333333
2012,AU,Administrative and regulatory,2.68182412553121935273
2013,AU,Administrative and regulatory,0.64285714285714285714
2014,AU,Administrative and regulatory,0.87662337662337662338
2015,AU,Administrative and regulatory,0.11264822134387351779
2016,AU,Administrative and regulatory,0.28535353535353535353
2017,AU,Administrative and regulatory,0.66666666666666666667
2019,AU,Administrative and regulatory,0.33333333333333333333
2011,AW,Administrative and regulatory,0.12500000000000000000
2015,AZ,Administrative and regulatory,1.50000000000000000000
1969,BE,Administrative and regulatory,1.00000000000000000000
2008,BE,Administrative and regulatory,0.12121212121212121212
2009,BE,Administrative and regulatory,0.16666666666666666667
2011,BE,Administrative and regulatory,0.33333333333333333333
2012,BE,Administrative and regulatory,0.13040293040293040294
2013,BE,Administrative and regulatory,1.03125000000000000000
2014,BE,Administrative and regulatory,0.06580086580086580087
