"year";"ctry_code";"country";"population"
"1900";"RU";"Russia";"649,000000"
"1900";"DE";"Germany";"552,000000"
"1900";"AU";"Australia";"36,900000"
"1900";"US";"United States";"788,000000"
"1900";"IN";"India";"2920,000000"
"1901";"RU";"Russia";"655,000000"
"1901";"DE";"Germany";"560,000000"
"1901";"AU";"Australia";"37,600000"
"1901";"US";"United States";"803,000000"
"1901";"IN";"India";"2930,000000"
"1902";"RU";"Russia";"661,000000"
"1902";"DE";"Germany";"568,000000"
"1902";"AU";"Australia";"38,200000"
"1902";"US";"United States";"819,000000"
"1902";"IN";"India";"2950,000000"
"1903";"RU";"Russia";"667,000000"
"1903";"DE";"Germany";"576,000000"
"1903";"AU";"Australia";"38,700000"
"1903";"US";"United States";"836,000000"
"1903";"IN";"India";"2970,000000"
"1904";"RU";"Russia";"673,000000"
"1904";"DE";"Germany";"585,000000"
"1904";"AU";"Australia";"39,400000"
"1904";"US";"United States";"853,000000"
"1904";"IN";"India";"2990,000000"
"1905";"RU";"Russia";"680,000000"
"1905";"DE";"Germany";"594,000000"
"1905";"AU";"Australia";"40,000000"
"1905";"US";"United States";"870,000000"
"1905";"IN";"India";"3010,000000"
"1906";"RU";"Russia";"686,000000"
"1906";"DE";"Germany";"603,000000"
"1906";"AU";"Australia";"40,600000"
"1906";"US";"United States";"888,000000"
"1906";"IN";"India";"3030,000000"
"1907";"RU";"Russia";"692,000000"
"1907";"DE";"Germany";"612,000000"
"1907";"AU";"Australia";"41,200000"
"1907";"US";"United States";"906,000000"
"1907";"IN";"India";"3050,000000"
"1908";"RU";"Russia";"698,000000"
"1908";"DE";"Germany";"621,000000"
"1908";"AU";"Australia";"41,900000"
"1908";"US";"United States";"924,000000"
"1908";"IN";"India";"3070,000000"
"1909";"RU";"Russia";"705,000000"
"1909";"DE";"Germany";"628,000000"
"1909";"AU";"Australia";"42,500000"
"1909";"US";"United States";"942,000000"
"1909";"IN";"India";"3080,000000"
"1910";"RU";"Russia";"711,000000"
"1910";"DE";"Germany";"632,000000"
"1910";"AU";"Australia";"43,300000"
"1910";"US";"United States";"959,000000"
"1910";"IN";"India";"3100,000000"
"1911";"RU";"Russia";"717,000000"
"1911";"DE";"Germany";"635,000000"
"1911";"AU";"Australia";"44,100000"
"1911";"US";"United States";"975,000000"
"1911";"IN";"India";"3110,000000"
"1912";"RU";"Russia";"724,000000"
"1912";"DE";"Germany";"635,000000"
"1912";"AU";"Australia";"44,900000"
"1912";"US";"United States";"990,000000"
"1912";"IN";"India";"3120,000000"
"1913";"RU";"Russia";"731,000000"
"1913";"DE";"Germany";"634,000000"
"1913";"AU";"Australia";"45,900000"
"1913";"US";"United States";"1010,000000"
"1913";"IN";"India";"3120,000000"
"1914";"RU";"Russia";"737,000000"
"1914";"DE";"Germany";"632,000000"
"1914";"AU";"Australia";"46,800000"
"1914";"US";"United States";"1020,000000"
"1914";"IN";"India";"3130,000000"
"1915";"RU";"Russia";"744,000000"
"1915";"DE";"Germany";"630,000000"
"1915";"AU";"Australia";"47,700000"
