earliest_filing_year,ctry_code,cpc_green,count
1989,AD,Adaptation to CC,0.12500000000000000000
2011,AD,Adaptation to CC,0.03125000000000000000
2014,AD,Adaptation to CC,0.12500000000000000000
1996,AE,Adaptation to CC,0.33333333333333333334
1997,AE,Adaptation to CC,0.04166666666666666667
2001,AE,Adaptation to CC,0.10000000000000000000
2004,AE,Adaptation to CC,0.33333333333333333334
2006,AE,Adaptation to CC,0.04545454545454545455
2010,AE,Adaptation to CC,0.06666666666666666667
2011,AE,Adaptation to CC,0.54347826086956521739
2012,AE,Adaptation to CC,0.13571428571428571429
2013,AE,Adaptation to CC,0.51468253968253968254
2014,AE,Adaptation to CC,0.81172438672438672439
2016,AE,Adaptation to CC,0.02272727272727272727
2017,AE,Adaptation to CC,0.02272727272727272727
2000,AF,Adaptation to CC,0.12500000000000000000
2014,AI,Adaptation to CC,0.06250000000000000000
1984,AM,Adaptation to CC,1.50000000000000000000
1989,AM,Adaptation to CC,1.00000000000000000000
1992,AM,Adaptation to CC,1.00000000000000000000
2001,AM,Adaptation to CC,0.16666666666666666667
2004,AM,Adaptation to CC,0.50000000000000000000
2013,AM,Adaptation to CC,0.10000000000000000000
2016,AM,Adaptation to CC,0.00373134328358208955
1999,AN,Adaptation to CC,0.03333333333333333333
2001,AN,Adaptation to CC,0.03125000000000000000
2008,AN,Adaptation to CC,0.08402777777777777778
2010,AN,Adaptation to CC,0.02500000000000000000
2012,AN,Adaptation to CC,0.12083333333333333334
2013,AN,Adaptation to CC,0.04722222222222222222
1935,AR,Adaptation to CC,0.29166666666666666667
1968,AR,Adaptation to CC,0.23809523809523809524
1975,AR,Adaptation to CC,0.50000000000000000000
1976,AR,Adaptation to CC,0.25000000000000000000
1977,AR,Adaptation to CC,0.66666666666666666666
1978,AR,Adaptation to CC,1.00000000000000000000
1979,AR,Adaptation to CC,1.00000000000000000000
1986,AR,Adaptation to CC,0.26984126984126984127
1987,AR,Adaptation to CC,0.04347826086956521739
1989,AR,Adaptation to CC,0.69444444444444444444
1993,AR,Adaptation to CC,0.50000000000000000000
1994,AR,Adaptation to CC,0.37500000000000000000
1995,AR,Adaptation to CC,0.15555555555555555556
1996,AR,Adaptation to CC,1.00000000000000000000
1997,AR,Adaptation to CC,0.06250000000000000000
1998,AR,Adaptation to CC,0.16666666666666666667
1999,AR,Adaptation to CC,0.12655677655677655678
2000,AR,Adaptation to CC,0.45580808080808080809
2001,AR,Adaptation to CC,0.14285714285714285714
2002,AR,Adaptation to CC,0.80000000000000000000
2003,AR,Adaptation to CC,0.26666666666666666667
2004,AR,Adaptation to CC,2.00000000000000000000
2005,AR,Adaptation to CC,0.58333333333333333333
2006,AR,Adaptation to CC,4.10515873015873015873
2008,AR,Adaptation to CC,0.18948412698412698413
2009,AR,Adaptation to CC,0.13730158730158730159
2010,AR,Adaptation to CC,2.06818181818181818181
2011,AR,Adaptation to CC,3.30281385281385281386
2012,AR,Adaptation to CC,2.69568160597572362278
2013,AR,Adaptation to CC,3.78846153846153846154
2014,AR,Adaptation to CC,4.14285714285714285714
2015,AR,Adaptation to CC,5.54166666666666666667
2016,AR,Adaptation to CC,0.79642857142857142857
2017,AR,Adaptation to CC,1.00000000000000000000
1903,AT,Adaptation to CC,0.50000000000000000000
1905,AT,Adaptation to CC,0.33333333333333333333
1906,AT,Adaptation to CC,0.50000000000000000000
1913,AT,Adaptation to CC,0.50000000000000000000
1923,AT,Adaptation to CC,0.25000000000000000000
1926,AT,Adaptation to CC,0.33333333333333333333
1932,AT,Adaptation to CC,0.33333333333333333333
1934,AT,Adaptation to CC,0.33333333333333333333
1937,AT,Adaptation to CC,0.50000000000000000000
1948,AT,Adaptation to CC,0.12500000000000000000
1950,AT,Adaptation to CC,0.83333333333333333333
1952,AT,Adaptation to CC,0.33333333333333333333
1953,AT,Adaptation to CC,0.16666666666666666667
1956,AT,Adaptation to CC,0.50000000000000000000
1958,AT,Adaptation to CC,0.33333333333333333333
