earliest_filing_year,cpc_green,count
1897,Adaptation to CC,0.50000000000000000000
1899,Adaptation to CC,0.50000000000000000000
1902,Adaptation to CC,5.24999999999999999998
1903,Adaptation to CC,6.48333333333333333332
1904,Adaptation to CC,5.71666666666666666664
1905,Adaptation to CC,5.39999999999999999999
1906,Adaptation to CC,4.83333333333333333331
1907,Adaptation to CC,3.05833333333333333333
1908,Adaptation to CC,6.93333333333333333332
1909,Adaptation to CC,4.05952380952380952381
1910,Adaptation to CC,3.41666666666666666666
1911,Adaptation to CC,3.88333333333333333332
1912,Adaptation to CC,6.58333333333333333332
1913,Adaptation to CC,5.31666666666666666665
1914,Adaptation to CC,2.43333333333333333333
1915,Adaptation to CC,1.16666666666666666666
1916,Adaptation to CC,1.83333333333333333333
1917,Adaptation to CC,4.49999999999999999999
1918,Adaptation to CC,3.99999999999999999999
1919,Adaptation to CC,6.84999999999999999999
1920,Adaptation to CC,10.56944444444444444442
1921,Adaptation to CC,10.16190476190476190472
1922,Adaptation to CC,10.66666666666666666662
1923,Adaptation to CC,11.81666666666666666660
1924,Adaptation to CC,12.14999999999999999995
1925,Adaptation to CC,12.54841269841269841265
1926,Adaptation to CC,15.97222222222222222214
1927,Adaptation to CC,16.30952380952380952375
1928,Adaptation to CC,15.90952380952380952374
1929,Adaptation to CC,16.54166666666666666660
1930,Adaptation to CC,16.84285714285714285708
1931,Adaptation to CC,13.44999999999999999995
1932,Adaptation to CC,10.61666666666666666664
1933,Adaptation to CC,13.63333333333333333327
1934,Adaptation to CC,8.03333333333333333331
1935,Adaptation to CC,12.54166666666666666663
1936,Adaptation to CC,14.53333333333333333327
1937,Adaptation to CC,19.77142857142857142848
1938,Adaptation to CC,12.39285714285714285707
1939,Adaptation to CC,11.39285714285714285711
1940,Adaptation to CC,9.56428571428571428564
1941,Adaptation to CC,4.67619047619047619047
1942,Adaptation to CC,6.60757575757575757574
1943,Adaptation to CC,5.91666666666666666663
1944,Adaptation to CC,6.39285714285714285712
1945,Adaptation to CC,5.17619047619047619047
1946,Adaptation to CC,7.33665223665223665221
1947,Adaptation to CC,3.76111111111111111109
1948,Adaptation to CC,5.44999999999999999998
1949,Adaptation to CC,11.34444444444444444442
1950,Adaptation to CC,11.34999999999999999996
1951,Adaptation to CC,19.42781385281385281380
1952,Adaptation to CC,12.55714285714285714282
1953,Adaptation to CC,8.18452380952380952382
1954,Adaptation to CC,17.76634199134199134194
1955,Adaptation to CC,8.36666666666666666664
1956,Adaptation to CC,15.45093073593073593070
1957,Adaptation to CC,19.13134920634920634917
1958,Adaptation to CC,18.66666666666666666663
1959,Adaptation to CC,16.38373015873015873012
1960,Adaptation to CC,25.09090909090909090903
1961,Adaptation to CC,30.75868805107935542712
