earliest_filing_year,ipc_green,count
1927,Administrative and regulatory,1.00000000000000000000
1929,Administrative and regulatory,1.00000000000000000000
1937,Administrative and regulatory,0.50000000000000000000
1945,Administrative and regulatory,0.20000000000000000000
1946,Administrative and regulatory,1.00000000000000000000
1947,Administrative and regulatory,0.33333333333333333333
1948,Administrative and regulatory,1.00000000000000000000
1952,Administrative and regulatory,1.50000000000000000000
1953,Administrative and regulatory,0.33333333333333333333
1958,Administrative and regulatory,0.50000000000000000000
1960,Administrative and regulatory,0.25000000000000000000
1961,Administrative and regulatory,1.00000000000000000000
1962,Administrative and regulatory,0.99999999999999999999
1963,Administrative and regulatory,3.00000000000000000000
1964,Administrative and regulatory,2.33333333333333333333
1965,Administrative and regulatory,2.00000000000000000000
1967,Administrative and regulatory,2.64285714285714285714
1968,Administrative and regulatory,0.70833333333333333333
1969,Administrative and regulatory,2.66666666666666666667
1970,Administrative and regulatory,0.25000000000000000000
1971,Administrative and regulatory,2.49999999999999999999
1972,Administrative and regulatory,2.58333333333333333333
1973,Administrative and regulatory,1.00000000000000000000
1974,Administrative and regulatory,7.94999999999999999998
1975,Administrative and regulatory,10.11666666666666666667
1976,Administrative and regulatory,6.77500000000000000000
1977,Administrative and regulatory,5.90833333333333333332
1978,Administrative and regulatory,3.08333333333333333333
1979,Administrative and regulatory,5.88535353535353535353
1980,Administrative and regulatory,4.47997835497835497836
1981,Administrative and regulatory,4.84166666666666666666
1982,Administrative and regulatory,3.78333333333333333332
1983,Administrative and regulatory,4.97142857142857142857
1984,Administrative and regulatory,2.61666666666666666666
1985,Administrative and regulatory,5.86666666666666666667
1986,Administrative and regulatory,11.76666666666666666666
1987,Administrative and regulatory,13.08055555555555555555
1988,Administrative and regulatory,4.04166666666666666667
1989,Administrative and regulatory,6.28452380952380952381
1990,Administrative and regulatory,14.92896825396825396825
1991,Administrative and regulatory,20.60416666666666666670
1992,Administrative and regulatory,16.62142857142857142857
1993,Administrative and regulatory,14.94583333333333333336
1994,Administrative and regulatory,20.39761904761904761905
1995,Administrative and regulatory,26.34722222222222222228
1996,Administrative and regulatory,17.43977591036414565827
1997,Administrative and regulatory,15.75277777777777777777
1998,Administrative and regulatory,23.16209150326797385620
1999,Administrative and regulatory,26.31290191290191290191
2000,Administrative and regulatory,33.79686147186147186145
2001,Administrative and regulatory,24.69805194805194805195
2002,Administrative and regulatory,25.05860805860805860804
2003,Administrative and regulatory,33.94441253191253191251
2004,Administrative and regulatory,51.98135300078742574677
2005,Administrative and regulatory,50.77263708513708513705
2006,Administrative and regulatory,49.27662746460700424891
2007,Administrative and regulatory,43.76471401696608927208
2008,Administrative and regulatory,45.60426685383581935306
2009,Administrative and regulatory,47.99598929111313012236
2010,Administrative and regulatory,51.16146528909686804424
2011,Administrative and regulatory,79.24984272973403408181
2012,Administrative and regulatory,70.35670322800993146933
2013,Administrative and regulatory,75.53021417355782680852
2014,Administrative and regulatory,69.92381515571918048697
2015,Administrative and regulatory,56.74815997782189072334
2016,Administrative and regulatory,66.35795582985985462761
2017,Administrative and regulatory,49.33608613608613608609
2018,Administrative and regulatory,82.78293650793650793642
2019,Administrative and regulatory,15.56666666666666666667
9999,Administrative and regulatory,1.20000000000000000000
1902,Agriculture and Forestry,7.99999999999999999999
1903,Agriculture and Forestry,5.33333333333333333333
1904,Agriculture and Forestry,5.00000000000000000000
1905,Agriculture and Forestry,3.00000000000000000000
1906,Agriculture and Forestry,6.50000000000000000000
1907,Agriculture and Forestry,9.00000000000000000000
1908,Agriculture and Forestry,12.00000000000000000000
1909,Agriculture and Forestry,8.99999999999999999999
1910,Agriculture and Forestry,15.00000000000000000000
1911,Agriculture and Forestry,18.99999999999999999997
1912,Agriculture and Forestry,10.00000000000000000000
1913,Agriculture and Forestry,12.00000000000000000000
1914,Agriculture and Forestry,4.00000000000000000000
1915,Agriculture and Forestry,2.00000000000000000000
1916,Agriculture and Forestry,8.00000000000000000000
1917,Agriculture and Forestry,6.00000000000000000000
1918,Agriculture and Forestry,5.33333333333333333333
1919,Agriculture and Forestry,21.00000000000000000000
1920,Agriculture and Forestry,13.50000000000000000000
1921,Agriculture and Forestry,16.49999999999999999999
1922,Agriculture and Forestry,17.99999999999999999999
1923,Agriculture and Forestry,10.00000000000000000000
1924,Agriculture and Forestry,19.00000000000000000000
1925,Agriculture and Forestry,25.50000000000000000000
1926,Agriculture and Forestry,23.49999999999999999999
1927,Agriculture and Forestry,12.33333333333333333333
1928,Agriculture and Forestry,21.66666666666666666666
1929,Agriculture and Forestry,10.10000000000000000000
1930,Agriculture and Forestry,11.69999999999999999999
1931,Agriculture and Forestry,16.25000000000000000000
1932,Agriculture and Forestry,20.50000000000000000000
1933,Agriculture and Forestry,22.00000000000000000000
1934,Agriculture and Forestry,27.11111111111111111110
1935,Agriculture and Forestry,23.66666666666666666668
1936,Agriculture and Forestry,45.48333333333333333331
1937,Agriculture and Forestry,33.79999999999999999999
1938,Agriculture and Forestry,24.25000000000000000000
1939,Agriculture and Forestry,25.73333333333333333333
1940,Agriculture and Forestry,19.11666666666666666666
1941,Agriculture and Forestry,58.30109890109890109957
1942,Agriculture and Forestry,29.64285714285714285714
1943,Agriculture and Forestry,32.26666666666666666666
1944,Agriculture and Forestry,38.11111111111111111108
1945,Agriculture and Forestry,36.54358974358974358972
1946,Agriculture and Forestry,47.59999999999999999999
1947,Agriculture and Forestry,39.55238095238095238094
1948,Agriculture and Forestry,43.77261904761904761902
1949,Agriculture and Forestry,59.84761904761904761902
1950,Agriculture and Forestry,58.28333333333333333330
1951,Agriculture and Forestry,86.60714285714285714267
1952,Agriculture and Forestry,84.42619047619047619042
1953,Agriculture and Forestry,86.62619047619047619041
1954,Agriculture and Forestry,86.14551282051282051278
1955,Agriculture and Forestry,120.07738095238095238087
1956,Agriculture and Forestry,107.69269480519480519475
1957,Agriculture and Forestry,105.37959956709956709956
1958,Agriculture and Forestry,115.98192110177404295040
1959,Agriculture and Forestry,167.71192279942279942274
1960,Agriculture and Forestry,162.19238816738816738818
1961,Agriculture and Forestry,184.75546444296444296439
1962,Agriculture and Forestry,198.53690984940984940985
1963,Agriculture and Forestry,181.97737956487956487951
1964,Agriculture and Forestry,187.83924071284752399301
1965,Agriculture and Forestry,187.10392662892662892652
1966,Agriculture and Forestry,217.63014931691402279633
1967,Agriculture and Forestry,241.01934766923897358665
1968,Agriculture and Forestry,312.44388347763347763347
1969,Agriculture and Forestry,360.83183739852273232638
1970,Agriculture and Forestry,353.11695694702913036450
1971,Agriculture and Forestry,335.81321956741493395810
1972,Agriculture and Forestry,409.09982801542966664320
1973,Agriculture and Forestry,411.51019361605400775573
1974,Agriculture and Forestry,577.31600263885245040158
1975,Agriculture and Forestry,724.98229867843444221169
1976,Agriculture and Forestry,924.82574444647557253321
1977,Agriculture and Forestry,1029.83905500315271075281
1978,Agriculture and Forestry,1204.32412527414812894868
1979,Agriculture and Forestry,1415.19576348193843134069
1980,Agriculture and Forestry,1233.25203374654646425035
1981,Agriculture and Forestry,1315.69170163825952202718
1982,Agriculture and Forestry,1363.65071377022085791112
1983,Agriculture and Forestry,1363.21657967434498419311
1984,Agriculture and Forestry,1279.95882271642838068948
1985,Agriculture and Forestry,1388.96861038979609709038
1986,Agriculture and Forestry,1493.93239150102516572753
1987,Agriculture and Forestry,1448.28933649794705489349
